customer_comment,lr_lead_status_name
notes,Cold
would like to inquire about the property at richardson road independence ky,Cold
id like more information about the listing at greenville road mls,Cold
gender female marital status married mortgage pre qualified no first time home buyer no property types lot land price range,Cold
how many acres,Cold
client type prospecting,Cold
never got contact info for the new owner returned from couple days out of town to find no heat ita balmy degrees dont know if they turned it down in the lower apartment but that controls the upstairs heat as well,Cold
notes,Cold
would like to inquire about the property at rd street lake charles la property details,Cold
hello may have the the street address where this property is located im interested but depends on location please email thank you,Cold
like to know if it still available,Cold
would like to inquire about the property at lancaster dr ne salem or was curious about the age limit im and my wife is would we be allowed kids are grown and gone good credit and great rental history property details,Cold
ellen and her husband gary are looking for ranch home with everything they need on the first floor basement was not even mentioned ellen just wants it to be nice they have house in pleasant hill they will first try to sell on their own but would like to purchase first that way they re not worried about where they will have to go,Cold
hi donna just wanted to let you know ill have rent to you for scottsdale this thursday feb th ended up having full weeks off before my new job started am sincerely sorry am working consistently now and rent will be on time from here on out thank you for working with us jennifer askewagent mls id,Cold
am small business owner with one child and no pets please contact me at,Cold
we are looking for lot with gulf access that we can put mobile home on until we can build home on for or less,Cold
this renter was searching on the apartments com network and thinks your community may be the perfect fit for them please follow up with this prospective resident as soon as possible via phone or email to answer any questions they may have renters information name luis perez phone email lujerz com lead submitted pm renters preferences beds baths model unit move date comments am interested in the apt income is yr working overnights bad credit but have cosigner im clean quiet stay to myself not many visitors responsible non smoker no pets its just me no criminal record or prior evictions property information link,Cold
want to see this house,Cold
im interested in dove run ln unit,Cold
im interested in navigator way,Cold
eedge,Cold
if at all possible could look at this house next thursday the th,Cold
would like to inquire about the property at mt vernon church rd raleigh nc is it really dollars property details,Cold
this lead is for andrea ballard the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to,Cold
would like to inquire about the property at wesmark sumter sc,Cold
this lead is for ann kehoe the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to,Cold
this lead is for tyeshia thomas the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
hello seen this property on craigslist for much lower price and someone renting it by the name of curran douglas just verifying if that was fraudulent posting on this property,Cold
notes,Cold
am interested in renting the property located in merrymount please let me know if it is available would like to move in as asap,Cold
im interested in flanders delray beach fl,Cold
would like to inquire about the property at hosfeld road carlisle pa could you please give me call tomorrow morning between am am est thank you property details,Cold
hi melanie was referred to you by sandra yi have home in costa mesa that want to sell the address is trabuco circle cm thank you,Cold
am interested in purchasing the lot preston st msl id,Cold
would like more information regarding the property at maple st erie,Cold
would like to inquire about the property at brookside ln other nc property details,Cold
notes,Cold
looking to buy bedroom house,Cold
hi there my name is ashley link and am considering purchasing home in late spring summer my financial advisor at edward jones jan pautvein recommended that reach out to you for either phone call or consultation currently rent an apartment and have never been home owner before like to find out what options might have and if it would be good time to become home owner look forward to your response thanks ashley link,Cold
this lead is for janet anderson the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to,Cold
th st odonnell,Cold
opcity,Cold
me gustar saber sobre el inmueble en newport st other pa,Cold
would like to inquire about the property at sw nd avenue owatonna mn if me and my significant other were able to your and look at the property tomorrow the th that would be great property details,Cold
do you accept section for this property,Cold
im interested in cedar ln,Cold
would like to inquire about the property at miami avenue arcadia fl property details,Cold
would like to inquire about the property at th ave greeley co property details,Cold
would like to inquire about the property at ruby meadow dr houston tx and see if me and my hubpand can take tour property details,Cold
no comment,Cold
im interested in queen st was wondering if might be able to look at the property this afternoon at around may not be able to answer my phone through the day but am near my email all the time,Cold
notes,Cold
manchester new franklin,Cold
lead from jim martin,Cold
is this listing for sale or rent we are in the market to rent,Cold
showing request for th march,Cold
this lead is for sade mclean the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at brown road hephzibah ga,Cold
hello tim we spoke briefly several months ago about me joining ashland realty once am ready for licensure went to st louis week ago and took the course at gundaker school of real estate and returned yesterday for the exam which passed all that is left for me is to complete the hour review have my fingerprints taken and sign with broker was wondering if we could arrange meeting for the middle or end of next week look forward to hearing from you thank you mary darby,Cold
would like more information regarding the property at gulfview dr unit in maitland,Cold
would like to inquire about the property at fox mills lane riverside ca,Cold
found this home on craigslist as rental and am trying to find out for sure if it is scam,Cold
no comment,Cold
opcity aliyah hamilton is looking to buy in the next days or so have lender calling her on monday at am to get pre qualified her budget is she is looking in the hampton fayetteville area she can meet with you in the next few days kensley ct hampton,Cold
home city,Cold
is there lease with option to buy available for this home or land contract,Cold
this lead is for leksang choezin the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified needs va lender refferal,Cold
social media ad,Cold
hi irene im thinking on hosting your listing this is going to be my first super sunday do you have any point that you want to highlight any additional information to what is already on the listing that should know in order to help you out thank you lorena francis,Cold
notes,Cold
no comment,Cold
realtor com interested in sunset cir,Cold
test,Cold
debra talley robinson son,Cold
tammy am trying to see if you will get this lead ve signed in as kathie because my info is under mariettes name on it all messed up,Cold
url,Cold
could we please view this property on sunday april th at pm,Cold
when would listing on cr be avaible for walk thru,Cold
gender male marital status married military branch usa military status separate mortgage pre qualified yes property types single family home price range,Cold
im interested in birch walk ct unit,Cold
no comment,Cold
leadrouter leads,Cold
im interested in crystal shores dr,Cold
hi mr cheneyi would like to inquire about the property at academy avenue sanger ca thank you adam,Cold
no comment,Cold
hi becky,Cold
interested in finding something near valencia,Cold
gender female marital status divorced military branch usa military status active mortgage pre qualified yes property types single family home new construction other price range,Cold
trudy had called my cell on property suggested she call lender to get pre qualified she called denise decarlos denise told her what to do to repair her credit score in order to be able to purchase home set her up on zap sent her my mobile app,Cold
im interested in rosewood ave thanks,Cold
me gustar saber sobre el inmueble en sw th st homestead fl,Cold
hello how are you today am interested in your property listing can you kindly send me more info about the property best regards,Cold
this lead is for guilluame purnell the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at bluegrass fairbanks ak,Cold
would like to inquire about the property at pine ridge dr nashville tn property details,Cold
would like to inquire about the property at askewville street windsor nc please verify the address looked at your site also look on google for the pictures of the surroundings do not see anything but field thanks johnproperty details,Cold
michele tried contacting but it could have been an old email still interested ina study at my house blessings eileen,Cold
looking for house on manasota key,Cold
please call for showing thank you,Cold
how much down payment,Cold
elm,Cold
tfvpevu url darin satchel url url datejust mm url url gucci para mujer url url daytona gold green url url veneta borsa milano url,Cold
notes,Cold
does everything work in the house likelythe electricity and the plumbing and etc,Cold
was curious about this property since had not seen it on zillow for the past few weeks was wondering if it is still for sale thanks,Cold
please send me more information on the following listing is this property still available is this property suitable for horses have several questions,Cold
this lead is for jerry mucha the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at nd ave los angeles ca property details,Cold
would like more information regarding the property at old selwood trce in columbia,Cold
can this house be bought on land contract or rent to own,Cold
hi discovered this listing on doorsteps and would love to learn more about it could you please send over any additional information you might have we realize that by the time we are actually moving the property will be gone we would like to know if there are other properties like its as well new jersey natives coming home thanks,Cold
would like more information regarding the property at dee st terre haute in that found on realtor com,Cold
do not see picture of laundry area is it located on the st level or the basement,Cold
this lead is for jamone franklin the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
this lead is for jeri bulthuis the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
relocation lead buyer referral source cartus usaa real estate rewards,Cold
central park ave,Cold
would like to inquire about the property at ballenger lane palm coast fl property details,Cold
this lead is for sergeant first class desiree kaminski the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to,Cold
am realtor from the upstate and have buyer referral for realtor my buyers are looking for both commercial residential please call or email me if you have realtor who is interested in assisting thank you jeremy wood property details,Cold
would like to inquire about the property at village grn los angeles ca property details,Cold
would like to inquire about the property at catskills dr wichita falls tx property details,Cold
im interested in elmwood pl,Cold
am interested in bluefield tazewell county va sq ft house for sale for,Cold
searching for land for potential sand mining address for this property,Cold
please send me more information regarding evergreen street fairbanks ak,Cold
gender male marital status married military branch usa military status active mortgage pre qualified no property types single family home price range,Cold
we are group of eight college student looking to rent home for the school year we are looking for something affordable around person month looking for home that is comfortable and close drive to campus we are juniors and seniors trying to save money and live off campus we are respectful civil and quality people looking to find house someone of us work in emergency services and are looking to volunteer in local municipalities we want to sign the lease asap and want to be able to guarantee housing for the next school year cosigner ready and ready to put deposit down any questions or concerns please feel free to contact me,Cold
this lead is for sonja mcauliffe the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
this lead is for tyeia spann the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
im interested in sheeler oaks dr,Cold
looking for the large backyard for business truck and supplies landscaping in roosevelt initial call inquiry for no listing on white house ave previously pics sent,Cold
,Cold
interesting in viewing home jasmine edwards,Cold
email communication works best,Cold
office broker to broker,Cold
good afternoon ms smith the previous owners of the home at downington overlook in acworth purchased an annual termite warranty protection this plan was automatically transferred to the new homeowner at the time of the sale of the home to complete transfer process we would need to make contact with mr corey schachter if you could please provide any contact information or forward my information to facilitate the transfer of coverage we would greatly appreciate any help should you have any questions about the coverage on the home please feel free to contact me directly thank you tina wilson account retention specialist arrow exterminators twilson com,Cold
would like to inquire about the property at th ave newark nj looking for fixer upper in newarkproperty details,Cold
wooltown rd lot wernersville pa you can reach me at,Cold
this lead is for kionti ross the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
this lead is for chase dowling the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to,Cold
this lead is for matthew ferragamo the cartus case number is please contact by phone prequalification was received first time buyer price range is up to program lender is guaranteed rate,Cold
would like to get access and show the property at boulevard knolls poughkeepsie ny would also like to kn ow the asking price thanks in advance robertproperty details,Cold
leadrouter leads,Cold
hola estoy interesada en comprar una propiedad en el harea de miami fl por elmomento me encuentro de visita en nicaragua por favor llamarme por wasap al cell,Cold
no comment,Cold
cinc,Cold
am just trying to fill out an application for my friends apartment in timberline place have no idea where to find it on this website since their place is not up for sale,Cold
regarding the property at ocean blvd apt pompano beach hoa fee tax can be rented weekly daily email answer please,Cold
notes,Cold
this lead is for brenda jacobsen the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at cedar ln sussex nj property details,Cold
would like to inquire about the property at amelia national pkwy fernandina beach fl property details,Cold
gender female marital status married mortgage pre qualified yes property types single family home price range,Cold
would like to inquire about the property at lantana ave jacksonville fl property details,Cold
holly ln lot schertx tx you can reach me at,Cold
this lead is for deana willis the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
buen dia saludos estoy llenando un formulario se me solicita el mero de identificaci de la escuela blica del estudiante,Cold
no comment,Cold
client type warm,Cold
this lead is for staff sergeant kendric starling the cartus case number is please contact by phone prequalification was not received first time buyer,Cold
look forward to showing you this property on kolob have attached at copy of that listing mls have also attached copy of the ccrs for that subdivision will stay in touch with you on monthly basis until we are able to show you the property if you see any other properties that you have interest in please let me know,Cold
relocation lead buyer referral source in house realty,Cold
he is getting pre approved call him up every week or so to see how its going,Cold
would like to inquire about the property at doris dr elizabeth city nc property details,Cold
this lead is for thomas schlueter the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
it is me,Cold
no comment,Cold
would like to see this home tomorrow morning before am seriously interested have cash,Cold
this lead is for staff sergeant joshua horton the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
gender male marital status single military branch usa military status inactive reserve mortgage pre qualified yes first time home buyer no property types single family home price range,Cold
would like more information regarding the property at warden st union city pa that found on realtor com,Cold
is this house still up for rent,Cold
whould it be possible to see an survey,Cold
saturday or sunday any time works,Cold
am interested in loma brisa dr which found using the realtor com app,Cold
me gustar saber sobre el inmueble en maloof avenue fontana ca,Cold
me gustar saber sobre el inmueble en nw th ave lauderdale lakes fl,Cold
my land is situated in adamjee narayanganj its all papers are genuine and market value approximately core more few year we didnt go there as result two tin shade shops have been made by others want to sell on its market value if you interested call me as soon as possible suman,Cold
would like to inquire about the property at russell holmes way carver ma,Cold
no comment,Cold
would like to inquire about the property at montgomery road montgomery oh,Cold
this lead is for donald hall the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to program lender is navy federal credit union,Cold
am interested in nanticoke cir seaford de,Cold
gender female marital status single mortgage pre qualified yes property types single family home townhouse condo or co op new construction price range,Cold
would like to inquire about the property at amber drive charlotte nc property details,Cold
thanks for posting your signs on gun control appreciate your efforts,Cold
notes,Cold
like to know if this house is still available,Cold
this lead is for technical sergeant maxximilian quiroz the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to,Cold
your client judy payne came to my open house on beverly st magnolia and metnioned this was clear possiblity to purchase am following up with you to see if you had chance to talk with her about this please give me call woul dlove the opportunity to work with you,Cold
this lead is for sergeant frank nanez the cartus case number is please contact by phone prequalification was received first time buyer price range is up to,Cold
would like more information regarding the property at marshall rd baltimore md that found on realtor com,Cold
am interested in receiving more information about mls id located at harris ave manson wa,Cold
this lead is for bayan hamid the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
this lead is for emmil ramos lopez the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
marketing campaign,Cold
this lead is for micheal peebles the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
hello ia wanting to know if this land is still for sale please contact me at thank you adam brooks,Cold
no comment,Cold
lead source category clients business phone,Cold
hi mark,Cold
called regarding sign on line of tampa and lutz vacant land,Cold
would like to inquire about the property at gloucester dr wheatley heights ny property details,Cold
this lead is for kirk young the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to program lender is navy federal credit union,Cold
no comment,Cold
would like to inquire about the property at lonetree irvine ca property details,Cold
im interested in herb ave email is best contact,Cold
would like to know if this house could be rented out or how this works,Cold
quiero rental mi casa para el mes de junio,Cold
notes,Cold
notes,Cold
no comment,Cold
notes,Cold
information about the property located at parker avenue south boston va,Cold
notes,Cold
no comment,Cold
after pm is preferred unless it is on saturday,Cold
notes,Cold
no comment,Cold
notes,Cold
why so cheap,Cold
no comment,Cold
gender female marital status divorced military branch usaf military status active mortgage pre qualified yes property types single family home price range,Cold
im interested in river dr apt,Cold
am interested in lindorf dr belleville il,Cold
im interested in sunset dr voorhees nj,Cold
would like more information regarding the property at township road findlay,Cold
is this apartment still available see it all the time and have called before with no luck,Cold
am going to call michelle about this home,Cold
would like to inquire about the property at county road jacksonville tx property details,Cold
would like more information regarding the property at quality ave cudahy,Cold
im interested in main st will you accept short term lease,Cold
hi new port richey but where is the location please thank you,Cold
would like to inquire about the property at walnut avenue ave dunbar pa,Cold
my husband and are interested in seeing the house and making an offer please email me it easier than calling thank you,Cold
would like to inquire about the property at drake parkway rd chattanooga tn property details,Cold
is this property still available if so would like to see it thank you,Cold
realtor com,Cold
would like more information regarding the property at specks run rd bunker hill,Cold
this is test of my zap website,Cold
would like to inquire about the property at concannon dr fords nj,Cold
called on my listing bel air,Cold
realtor com,Cold
would like to inquire about the property at frodo circle sumter sc property details,Cold
notes,Cold
im interested in high st trlr,Cold
would like to inquire about the property at pine creek way unit concord ca property details,Cold
notes,Cold
was referred to era my second time in the home buying process my credit is not where would like it to be wanted to find out what steps do need to take to get there rates look good and we are ready to buy,Cold
magnolia ave spc lemoore ca you can reach me at,Cold
eric do you have any mobile homes about dollars in tucson or south of tucson on owned land thanks donald chorvath georgeandlaurachorvath com,Cold
would like to inquire about the property at fox hollow ct northville twp mi property details,Cold
this lead is for specialist ashley hopper the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to,Cold
customer first name beverlycustomer last name hillcustomer email address beverlyhill comcustomer phone number best way to contact the customer emailadditional comments would like to inquire about the property at cypress knoll drive richlands nc,Cold
would like to inquire about the property at warehouse street muscoda wi property details,Cold
notes,Cold
was wondering if the home on chris kennedy rd is foreclosure with that being start price or if it is am hopefully going into contract to sell my mothers home inherited in mandveille this week live in slidell but need to fix this one bit before sell would be cash buyer after closing on my mothers home and this is exactly the type of opportunity that am looking for thanks,Cold
hi am interested in this home my name is anthony will you please call me at,Cold
whats the lowest the,Cold
would like to inquire about the property at westminster rd colonia nj,Cold
would like to inquire about the property at corinne lane ebensburg pa,Cold
verified,Cold
would it be possible to arrange at time to view the house today or tomorrow feel free to call my cell thanks leah,Cold
im interested in namquid dr,Cold
notes,Cold
notes,Cold
interested in this property or comparable,Cold
im interested in bicknell ave please contact me in regards to this property,Cold
open house for sharon reeves,Cold
would like more information regarding the property at silver lake st athol ma that found on realtor com,Cold
notes,Cold
hello,Cold
this lead is for john lantz the cartus case number is please contact by phone prequalification was not received first time buyer price range is to program lender is navy federal credit union,Cold
would like to inquire about the property at lakeview dr helendale ca im really interested in home like this however cannot get over the price is it really this affordable live in michigan and know that there has to be catch to this price you have listed please let me know thank you god bless laura jonesproperty details,Cold
no comment,Cold
this lead is for crystal gholston the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
st time home buyer looking for down payment assistance,Cold
would like to inquire about the property at se highway summerfield fl property details,Cold
appointment informationdate sat jan time morningmessage would like to walk the property is access road part of the parcel or is it right of way,Cold
we met at an open house that you were hosting in the fall of last year and my parents and spent some time talking with you while we were there at the time was only window shopping still fairly new to the idea but now have decided that would like to get more serious about purchasing home was hoping you would be interested in working with me,Cold
me gustar saber sobre el inmueble en east th street mt pleasant tx,Cold
currently leasing in dp and looking for change of venue is center ct available have leased at tv on several occasions thx my inquiry is in reference to,Cold
would like more information regarding the property at mashapaug rd holland ma that found on realtor com,Cold
gender female marital status single mortgage pre qualified no property types single family home new construction price range,Cold
am interested in chief john dr fairbanks ak,Cold
im interested in rd st,Cold
me gustar saber sobre el inmueble en red tailed hawk dr port saint lucie fl,Cold
would like more information regarding the property at brinwood dr wills point,Cold
can you send some details about this property what utilites available perked can have well on this property pls send me any available info as far as guidelines and restrictions on building house on this location,Cold
this lead is for lauren haskins the cartus case number is please contact by phone prequalification was received not first time buyer price range is to,Cold
hey im interested in the property at leadville court augusta ga,Cold
id like more information about the listing that found at homes com at amber wheat,Cold
notes,Cold
would like to inquire about the property at del sol lane lewiston id property details,Cold
am interested in highland ave which found using the realtor com app,Cold
me gustar saber sobre el inmueble en bitterweed pueblo co,Cold
would like to inquire about the property at elkhorn drive show low az property details,Cold
what is the lot size you have acres but that doesnt seem possible,Cold
hello like to get more info covenants and restrestions plot map community lot info ect is there locked gate or can just drive by and take look thanks mark allred,Cold
am interested in porter montgomery county tx acres land for sale for,Cold
hi cheryl have been dealing on my own attempting to find property around green bank durbin dunmore or arbovale am looking for at least one acre of land fixer upper cabin or just land my budget stands at am working with seller realtor trying to negotiate price for property located in dunmore laurel run road pine valley subdivision listing for offered pending on inspection of vacant double wide and septic system the seller countered with and said was inclined to accept but all decisions hindered on outcome of inspection of mobile home septic and well have not signed anything seller agent nolan from redoak has been helping but he does represents the seller need someone to guide me on this transaction and assist me in finding other opportunities if this fails am worried about the possibility of black mold present inside mobile unit which would nullify my offer and bring us back to the negotiation table wouldn feel the land acres is worth if the value of the mobile home is negatively impacted by the potential presence of toxic mold like the land and would like to pursue fair compromise if there is actually any cause for concern about the mobile home condition would not want to have to incur remediation cost to make the unit livable again let me know what you think thanks,Cold
paid lead from realtor com looking at tangle lane never responded to contact,Cold
view it,Cold
this lead is for khalid awan the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
no comment,Cold
would like to inquire about the property at metropolitan oval unit bronx ny property details,Cold
im interested in sussex dr,Cold
would like to inquire about the property at ne th st north miami beach fl does this property have any rental restrictions thanks property details,Cold
am interested in receiving more information about mls id located at fountains boulevard ne cedar rapids ia please call my cell at,Cold
am interested in woodland ct brighton il,Cold
what are the restrictive covenants for these tracts of land,Cold
would like photos of home what type of repairs are needed,Cold
approved for on usda fha still looking and working on money,Cold
notes,Cold
zillow contact is now looking to move to jacksonville fl,Cold
im interested in rd st please send me details,Cold
would like to inquire about the property at billboard route corbin city nj,Cold
would like more information regarding the property at th st chicago il that found on realtor com,Cold
would like more information regarding the property at south main st coventry ri that found on realtor com,Cold
would like to inquire about the property at arlington heights seneca sc property details,Cold
im interested in this unit im looking to buy in weeks will be ready then this one is move in ready now,Cold
please send me more information on the following listing,Cold
good news we ve just qualified new lead for you name mary macor phone email tennisbabe com address or area vegas valley dr las vegas nevada las vegas client type buyer price range under time frame within months lead source realtor com converted by isa casey best time to reach anytime tomorrow additional comments mary is interested in vegas valley dr and didnt clarify if she was working with an agent she would like to purchase an investment property price range under best time to reach tomorrow anytime next steps we suggest that you reach out to the lead as soon as possible make sure you reference the isa casey and any notes that were left for you this will create seamless transition as you take over communications with your lead good luck,Cold
would like more information regarding the property at beechnut ln poland me that found on realtor com,Cold
currently lives in villages at lakepoint married with one small son,Cold
hi mandy impressed also surprised it has not sold must be location problem ll be calling you in few hours mon morning with some questions vet using va loan so most concerned with va appraisal inspection for house this old but oh it an authentic victorian richard roubideaux go by steven,Cold
bhgre referral,Cold
if there is any way you can help my family recover even minutely from the damage tom has done to us ia be grateful he devastated us,Cold
would like to inquire about the property at francis marion cir dalzell sc property details,Cold
notes,Cold
spoke to paula on she asked me for information on listing at whip wheel listed by cb gave her the information over the weekend she is having an electrocardiogram this wednesday need to follow up,Cold
dd lease is up in april looking to move to the campbellton area,Cold
was just wondering if this property might have rent to own option if not do you all have any with rent to own option thank you,Cold
this lead is for julia joseph the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to program lender is navy federal credit union,Cold
would like to inquire about the property at brookside dr hayesville nc property details,Cold
notes,Cold
would like to inquire about the property at highway woodleaf nc property details,Cold
would like to inquire about the property at garvin rd dayton oh property details,Cold
would like to inquire about the property at waterbrook fort wayne in,Cold
im interested in bayview blvdi would like to see this home this saturday if possible please email and let me know if you can show it,Cold
hello jasmine carmen is interested on harrison st she left message on saturday please get back to her asap,Cold
on saturday or sunday would be great if pissible thabk you,Cold
im interested in duquesne dr,Cold
would like to inquire about the property at village dr slidell la,Cold
would like to inquire about the property at cherokee drive pemberton twp nj property details,Cold
would like to inquire about the property at harwood street orlando fl is it still available property details,Cold
is the house still available,Cold
want to purchase single family home between the range of cash offermy inquiry is in reference to,Cold
would like to see viewing of this trailer please,Cold
sw fillmore st topeka ks,Cold
hi discovered this listing on doorsteps and would love to learn more about it could you please send over any additional information you might have thanks,Cold
would like to inquire about the property at desert rain drive el paso tx is it or units what do they currently rent for do you have an average of how many months year these units are vacant since thwy were built property details,Cold
notes,Cold
would like to inquire about the property at barshay drive covington ga property details,Cold
notes,Cold
no comment,Cold
im interested in third st,Cold
im interested in wolcott ave,Cold
notes,Cold
would like more information regarding the property at thorne ave hempstead,Cold
would like to inquire about the property at baptist road macks creek mo property details,Cold
would like to inquire about the property at crystal ct napa ca property details,Cold
would like to inquire about the property at pine st foley al are they currently rented outproperty details,Cold
hi am interested in the property listing you published please provide me with more information thank you charles hudson,Cold
would like to inquire about the property at leroy street binghamton ny,Cold
would like to view this property,Cold
im interested in barbara ln,Cold
would like more information regarding the property at county road cleveland,Cold
im interested in ice house rd fort garland co,Cold
no comment,Cold
gender male marital status single mortgage pre qualified no first time home buyer no property types single family home new construction price range,Cold
hello do you offer any property management services for rental properties in edmond thanks century real estate llc all rights reserved century real estate llc fully supports the principles of the fair housing act and the equal opportunity act each office is independently owned and operated century and the century logo are service marks owned by century real estate llc nothing in this document is intended to create an employment relationship with this company or century real estate llc,Cold
would like to inquire about the property at franklin pl revere ma,Cold
this lead is for staff sergeant edwin galarzaseda the cartus case number is please contact by phone prequalification was received first time buyer price range is up to,Cold
realtor com,Cold
am interested in show low navajo county az acres land for sale for,Cold
would like to get more information regarding listing motts parkway michigan city in,Cold
im interested in hedgeway dr,Cold
is this property still available to make an offer on,Cold
would like to inquire about the property at west parliament place unit mount prospect il could buy this condo for investment contact by mail only thank you andrma comproperty details,Cold
lead source realtor com,Cold
im interested in maple st how much is your fees thanks,Cold
im interested in ethan stone rd quick question on the areil view,Cold
hi we are really interested in fm iowa park we would really like to see more pics of that house all of the rooms and bathrooms we are in las vegas nv and we can not go see it in person yet we are in the process of getting ready to selling our home and we would be buying cash,Cold
can email,Cold
gender male marital status married military branch usaf military status active mortgage pre qualified no property types single family home price range,Cold
would like to inquire about the property at th st clear lake ia,Cold
called about listing in berkeley springs for acres and he thinks there may be dwelling on it did not know the actual address,Cold
im interested in fm farm to market rdplease send mls want show it but cannot find itthank you,Cold
im interested in county road,Cold
commercial lead message looking to buy commercial property near the and warm springs or in china town the property will be used for car wash he is spanish speaker,Cold
notes,Cold
would there be any negotiations on the price of was thinking more closer to,Cold
no comment,Cold
would like to inquire about the property at collins ave sunny isles beach fl property details,Cold
please will like you to send me other necessary information to my email address and also will like to know when will you be available so can meet you at the property,Cold
re embroidery gifts that make you happythe right promotional presence in your clients home is critical building block to developing life long customers raving fans gifting your clients with beautiful custom embroidered throw at closing is an effective way to be remembered in your clients home discover what thousands of other agents already know contact us today picture this its the end of long day finally your client is sitting back in their favorite chair snuggled up in the fabulously comfortable embroidered throw provided by you their personal realtor once again they notice your custom label that reads compliments of your name realtor name its at that moment they un consciously associate the warmth and comfort of the throw with you their personal realtor brand loyalty is often created by association with human emotion ie laughter security comfort while given as useful and practical gift custom embroidered afghan just may be the most powerful prom,Cold
me gustar saber sobre el inmueble en hawley way elk grove ca,Cold
verified,Cold
this lead is for patrice parker the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at pioneer blvd sandy or,Cold
walter is interested in property mayflower way monroe nj he is not working with an agent price up to karea monrefeatures bed bathplease reach out asap concierge notes walter is interested in property mayflower way monroe nj he is not working with an agent price up to karea monrefeatures bed bathplease reach out asap qualified,Cold
gender male marital status married military branch usaf military status active mortgage pre qualified no property types single family home price range,Cold
bell street cir clinton sc im free tomarrow if possible to look at it would be greatyou can reach me at,Cold
im interested in peach tree rd want to see that house monday please can you call me,Cold
would like more information regarding the property at ave nevada ia that found on realtor com,Cold
midvalley ave spc visalia ca hello can you please text message me the space rent and pet policy do not use my email thank you debra batemanyou can reach me at,Cold
any day afternoon appointment,Cold
would like to inquire about the property at left fork joes creek pikeville ky property details,Cold
would like to inquire about the property at san pedro way merced ca,Cold
respond within minutes for best results,Cold
interested in fordham in victorville but is in escrow would like or pre approved for with mortgate square,Cold
appointment informationdate thu feb time anymessage,Cold
anytime would love to tour this house only thing ia asking is is it for rent ia not necessarily trying to buy house right now but ia love to rent for little while,Cold
would like to inquire about the property at merion ave upper darby pa property details,Cold
interested in selling her house would like more info on seller agent options,Cold
would like more information regarding the property at canfield st mount olive township nj that found on realtor com,Cold
hey mrs leslie david and are moving back home would love to have you as our real estate agent please give me call when you have chance and we can discuss thank you and hope all is well,Cold
referred by gus previous client looking for bed possibly with pool in neighborhood that is not congested she asked about west wood estates and outskirts of porterville,Cold
hello my name is matthew nevius and would like to inquire about the property at okolona road church hill tn is there time this weekend in which my wife and can look at this property please let us know thank you property details,Cold
was just wondering if could come look at this property and what all wrong with the house,Cold
zillow lead inquired about property under contract looking for or below anywhere in raleigh area but not durham inquireed again on about another property under contract will email him now and let him know it under contract but send other homes that fit criteria,Cold
no comment,Cold
blackhawk dr,Cold
would like to inquire about the property at nhn holdsworth circle tatalina subd ak was curious of its exact location is it really off newly or is it somewhere else im currently at work and out of cell phone range so email will be the best way to contact me thank you josh,Cold
